GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2006;;;;;;;
Monate: April;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;1797698;5177481;1429856;4425608;367842;751873
091;  Oberbayern;758937;1913864;543470;1465566;215467;448298
09161;    Ingolstadt (Krfr.St);16144;29150;11881;21098;4263;8052
09162;    München, Landeshauptstadt;329576;675391;194483;384512;135093;290879
09163;    Rosenheim (Krfr.St);6161;10215;4240;6950;1921;3265
09171;    Altötting (Lkr);7754;15604;5719;12060;2035;3544
09171111;      Altötting, St;3906;7575;2441;5216;1465;2359
09171112;      Burghausen, St;2567;5124;2177;4378;390;746
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;190;429;144;312;46;117
09171119;      Halsbach;.;.;.;.;.;.
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;164;430;134;321;30;109
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);30766;142084;27245;133373;3521;8711
09172111;      Ainring;1567;4461;1378;4024;189;437
09172112;      Anger;243;591;207;510;36;81
09172114;      Bad Reichenhall, GKSt;8038;44683;7166;42858;872;1825
09172115;      Bayerisch Gmain;2273;15545;2216;15325;57;220
09172116;      Berchtesgaden, M;5716;19073;4825;16808;891;2265
09172117;      Bischofswiesen;1634;8919;1506;8546;128;373
09172118;      Freilassing, St;1352;2462;1056;1858;296;604
09172122;      Laufen, St;474;963;376;618;98;345
09172124;      Marktschellenberg, M;354;1509;312;1387;42;122
09172128;      Piding;1345;3603;914;2861;431;742
09172129;      Ramsau b.Berchtesgaden;1694;7444;1643;7347;51;97
09172130;      Saaldorf-Surheim;218;556;210;542;8;14
09172131;      Schneizlreuth;398;1117;367;1053;31;64
09172132;      Schönau a.Königssee;4572;26981;4189;25467;383;1514
09172134;      Teisendorf, M;888;4177;880;4169;8;8
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);19232;69200;17528;64970;1704;4230
09173111;      Bad Heilbrunn;319;947;266;793;53;154
09173112;      Bad Tölz, St;4687;23305;3871;21567;816;1738
09173113;      Benediktbeuern;3079;9372;3020;9191;59;181
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;681;1903;619;1708;62;195
09173120;      Egling;575;1316;487;1128;88;188
09173123;      Eurasburg;112;266;83;212;29;54
09173124;      Gaißach;173;3991;153;3939;20;52
09173126;      Geretsried, St;1464;4056;1404;3893;60;163
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;150;586;140;565;10;21
09173133;      Kochel a.See;1096;3369;948;2993;148;376
09173134;      Königsdorf;1418;4068;1376;4001;42;67
09173135;      Lenggries;1804;4891;1710;4704;94;187
09173137;      Münsing;1767;6587;1639;5985;128;602
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;301;727;250;634;51;93
09173145;      Wackersberg;563;1598;541;1518;22;80
09173147;      Wolfratshausen, St;880;1614;861;1542;19;72
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);7782;15228;6461;12770;1321;2458
09174111;      Altomünster, M;.;.;.;.;.;.
09174113;      Bergkirchen;879;2087;769;1850;110;237
09174115;      Dachau, GKSt;3107;5233;2333;3712;774;1521
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;326;657;310;612;16;45
09174126;      Karlsfeld;858;1568;681;1240;177;328
09174131;      Markt Indersdorf, M;615;1362;609;1334;6;28
09174135;      Odelzhausen;451;602;323;455;128;147
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;191;539;182;527;9;12
09174143;      Schwabhausen;185;460;179;447;6;13
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);9532;20676;7920;17397;1612;3279
09175111;      Anzing;430;1376;407;1302;23;74
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
