GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2006;;;;;;;
Monate: August;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2595997;8935372;1916136;7438994;679861;1496378
091;  Oberbayern;1082430;3462729;739585;2686157;342845;776572
09161;    Ingolstadt (Krfr.St);20961;36487;12131;23914;8830;12573
09162;    München, Landeshauptstadt;401172;872431;202227;414698;198945;457733
09163;    Rosenheim (Krfr.St);9294;13334;5745;8826;3549;4508
09171;    Altötting (Lkr);11932;25641;9699;21751;2233;3890
09171111;      Altötting, St;5872;12424;4642;10630;1230;1794
09171112;      Burghausen, St;3952;7787;3135;6182;817;1605
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;259;615;228;496;31;119
09171119;      Halsbach;.;.;.;.;.;.
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;352;1031;338;1017;14;14
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);69035;387117;57292;349832;11743;37285
09172111;      Ainring;2348;8890;1887;7559;461;1331
09172112;      Anger;467;3050;414;2864;53;186
09172114;      Bad Reichenhall, GKSt;12539;77458;10474;69652;2065;7806
09172115;      Bayerisch Gmain;3017;23963;2861;23467;156;496
09172116;      Berchtesgaden, M;13830;68336;10470;58084;3360;10252
09172117;      Bischofswiesen;4905;31435;4292;28396;613;3039
09172118;      Freilassing, St;2334;5009;1777;4057;557;952
09172122;      Laufen, St;1307;5250;1203;5035;104;215
09172124;      Marktschellenberg, M;1044;6874;768;6048;276;826
09172128;      Piding;2366;7761;1726;6276;640;1485
09172129;      Ramsau b.Berchtesgaden;6149;37008;5686;35327;463;1681
09172130;      Saaldorf-Surheim;386;1279;370;1235;16;44
09172131;      Schneizlreuth;1048;4037;914;3772;134;265
09172132;      Schönau a.Königssee;16014;99066;13307;90582;2707;8484
09172134;      Teisendorf, M;1281;7701;1143;7478;138;223
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);33255;132045;29435;122310;3820;9735
09173111;      Bad Heilbrunn;498;1946;453;1823;45;123
09173112;      Bad Tölz, St;8811;39085;7287;35273;1524;3812
09173113;      Benediktbeuern;2552;9358;2496;9204;56;154
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;740;1699;561;1108;179;591
09173120;      Egling;823;1925;513;1301;310;624
09173123;      Eurasburg;235;408;183;330;52;78
09173124;      Gaißach;305;5936;294;5891;11;45
09173126;      Geretsried, St;960;2909;897;2717;63;192
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;474;2755;446;2671;28;84
09173133;      Kochel a.See;5452;25954;5069;24675;383;1279
09173134;      Königsdorf;1979;7030;1834;6759;145;271
09173135;      Lenggries;4084;13712;3764;12862;320;850
09173137;      Münsing;3090;9029;2674;8121;416;908
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;553;2126;464;1970;89;156
09173145;      Wackersberg;1116;4306;1025;3981;91;325
09173147;      Wolfratshausen, St;1223;2554;1135;2336;88;218
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);8450;20308;6849;17452;1601;2856
09174111;      Altomünster, M;.;.;.;.;.;.
09174113;      Bergkirchen;1233;2857;1126;2676;107;181
09174115;      Dachau, GKSt;3292;7102;2443;5719;849;1383
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;613;1291;563;1210;50;81
09174126;      Karlsfeld;663;1558;535;1094;128;464
09174131;      Markt Indersdorf, M;510;2256;503;2235;7;21
09174135;      Odelzhausen;541;739;366;536;175;203
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;346;939;323;874;23;65
09174143;      Schwabhausen;176;488;155;455;21;33
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);9910;21586;8518;18858;1392;2728
09175111;      Anzing;442;1182;426;1157;16;25
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
