GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2016;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2268560;5983714;1716196;4832024;552364;1151690
091;  Oberbayern;1056213;2483727;723732;1802035;332481;681692
09161;    Ingolstadt (Krfr.St);22285;38678;15360;26371;6925;12307
09162;    München, Landeshauptstadt;458988;889363;270093;498458;188895;390905
09163;    Rosenheim (Krfr.St);8510;12330;5660;8396;2850;3934
09171;    Altötting (Lkr);6543;14089;5877;12452;666;1637
09171111;      Altötting, St;2473;4908;2361;4736;112;172
09171112;      Burghausen, St;2181;4560;1743;3568;438;992
09171113;      Burgkirchen a.d.Alz;163;691;156;583;7;108
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;255;485;218;423;37;62
09171119;      Halsbach;.;.;.;.;.;.
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;148;305;141;289;7;16
09171123;      Marktl, M;38;132;38;132;-;-
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;130;454;121;366;9;88
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;.;.;.;.;.;.
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;475;813;471;797;4;16
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);38902;175722;32218;151937;6684;23785
09172111;      Ainring;1875;5345;1361;4449;514;896
09172112;      Anger;325;874;287;762;38;112
09172114;      Bad Reichenhall, GKSt;7329;36883;5947;33910;1382;2973
09172115;      Bayerisch Gmain;1474;13751;1454;13656;20;95
09172116;      Berchtesgaden, M;10869;39749;8618;30415;2251;9334
09172117;      Bischofswiesen;2161;12009;1955;10731;206;1278
09172118;      Freilassing, St;1328;2553;1063;2022;265;531
09172122;      Laufen, St;442;1129;413;1055;29;74
09172124;      Marktschellenberg, M;210;915;185;787;25;128
09172128;      Piding;393;1308;370;1250;23;58
09172129;      Ramsau b.Berchtesgaden;3099;13386;2810;12278;289;1108
09172130;      Saaldorf-Surheim;388;942;341;861;47;81
09172131;      Schneizlreuth;566;963;380;764;186;199
09172132;      Schönau a.Königssee;7404;43076;6044;36257;1360;6819
09172134;      Teisendorf, M;1039;2839;990;2740;49;99
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);21520;72188;19827;66390;1693;5798
09173111;      Bad Heilbrunn;491;1546;396;1172;95;374
09173112;      Bad Tölz, St;4132;18476;3670;17374;462;1102
09173113;      Benediktbeuern;2759;5997;2725;5914;34;83
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;876;1461;817;1233;59;228
09173120;      Egling;1004;1818;911;1637;93;181
09173123;      Eurasburg;.;.;.;.;.;.
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1305;4122;1229;3896;76;226
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;213;808;203;772;10;36
09173133;      Kochel a.See;1110;3235;995;2634;115;601
09173134;      Königsdorf;1023;2775;938;2379;85;396
09173135;      Lenggries;5082;19245;4774;17964;308;1281
09173137;      Münsing;1078;2187;1037;2064;41;123
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;486;1459;411;1064;75;395
09173145;      Wackersberg;567;1824;534;1674;33;150
09173147;      Wolfratshausen, St;614;1376;485;1137;129;239
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);10390;21548;8590;18308;1800;3240
09174111;      Altomünster, M;427;1224;403;1157;24;67
09174113;      Bergkirchen;1438;2904;1149;2387;289;517
09174115;      Dachau, GKSt;4414;7430;3529;5948;885;1482
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;311;997;297;980;14;17
09174126;      Karlsfeld;882;1383;740;1061;142;322
09174131;      Markt Indersdorf, M;284;1629;271;1613;13;16
09174135;      Odelzhausen;908;1468;661;1161;247;307
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;333;826;307;789;26;37
09174143;      Schwabhausen;416;1247;353;971;63;276
09174146;      Sulzemoos;191;619;156;567;35;52
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);14151;29633;10946;23346;3205;6287
09175111;      Anzing;411;1515;399;1487;12;28
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
