GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2012;;;;;;;
Monate: März;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2159288;5537091;1704679;4567853;454609;969238
091;  Oberbayern;993777;2316454;709477;1716420;284300;600034
09161;    Ingolstadt (Krfr.St);19706;36509;14730;25812;4976;10697
09162;    München, Landeshauptstadt;461798;903927;273549;507733;188249;396194
09163;    Rosenheim (Krfr.St);7289;11909;5574;8974;1715;2935
09171;    Altötting (Lkr);7957;16685;7163;15117;794;1568
09171111;      Altötting, St;3015;6062;2830;5749;185;313
09171112;      Burghausen, St;3762;7514;3227;6378;535;1136
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;194;386;180;361;14;25
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;182;446;179;439;3;7
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);30947;141606;27218;127127;3729;14479
09172111;      Ainring;1419;4606;923;2112;496;2494
09172112;      Anger;291;757;277;708;14;49
09172114;      Bad Reichenhall, GKSt;8151;46665;7398;43597;753;3068
09172115;      Bayerisch Gmain;1634;12114;1562;11920;72;194
09172116;      Berchtesgaden, M;6923;22837;5705;18029;1218;4808
09172117;      Bischofswiesen;1560;6935;1532;6824;28;111
09172118;      Freilassing, St;1301;2660;1027;2165;274;495
09172122;      Laufen, St;575;1296;567;1280;8;16
09172124;      Marktschellenberg, M;140;488;106;329;34;159
09172128;      Piding;632;2153;505;1985;127;168
09172129;      Ramsau b.Berchtesgaden;1474;6331;1352;6004;122;327
09172130;      Saaldorf-Surheim;423;770;391;681;32;89
09172131;      Schneizlreuth;373;1125;315;984;58;141
09172132;      Schönau a.Königssee;5233;29998;4771;27694;462;2304
09172134;      Teisendorf, M;818;2871;787;2815;31;56
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);21793;65548;20318;61098;1475;4450
09173111;      Bad Heilbrunn;366;881;335;752;31;129
09173112;      Bad Tölz, St;4525;20385;4071;19340;454;1045
09173113;      Benediktbeuern;3091;7038;2999;6758;92;280
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1187;2368;1132;2271;55;97
09173120;      Egling;965;2436;798;1270;167;1166
09173123;      Eurasburg;90;150;74;113;16;37
09173124;      Gaißach;228;5318;228;5318;-;-
09173126;      Geretsried, St;1609;5251;1506;4663;103;588
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;87;294;84;283;3;11
09173133;      Kochel a.See;1008;2480;961;2397;47;83
09173134;      Königsdorf;1843;4440;1763;4131;80;309
09173135;      Lenggries;4029;7745;3711;7221;318;524
09173137;      Münsing;1621;3742;1551;3612;70;130
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;469;1084;466;1079;3;5
09173147;      Wolfratshausen, St;482;1487;463;1458;19;29
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);9377;19131;8201;16649;1176;2482
09174111;      Altomünster, M;369;902;343;848;26;54
09174113;      Bergkirchen;1115;2440;973;2208;142;232
09174115;      Dachau, GKSt;3715;6696;3139;5573;576;1123
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;393;1070;369;949;24;121
09174126;      Karlsfeld;856;1676;745;1406;111;270
09174131;      Markt Indersdorf, M;364;1044;346;806;18;238
09174135;      Odelzhausen;873;1291;700;1030;173;261
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;227;726;219;710;8;16
09174143;      Schwabhausen;332;824;319;771;13;53
09174146;      Sulzemoos;315;830;245;755;70;75
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);12316;24832;11049;22355;1267;2477
09175111;      Anzing;407;1512;401;1481;6;31
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
