GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2018;;;;;;;
Monate: Oktober;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;3591148;9036863;2747093;7273454;844055;1763409
091;  Oberbayern;1674525;3885788;1137275;2740089;537250;1145699
09161;    Ingolstadt (Krfr.St);30039;52124;22202;37643;7837;14481
09162;    München, Landeshauptstadt;767480;1603808;421285;835602;346195;768206
09163;    Rosenheim (Krfr.St);12011;20271;9736;16144;2275;4127
09171;    Altötting (Lkr);12154;27432;10433;22779;1721;4653
09171111;      Altötting, St;4899;10221;4294;9427;605;794
09171112;      Burghausen, St;4778;9306;3933;7460;845;1846
09171113;      Burgkirchen a.d.Alz;102;838;85;530;17;308
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;254;637;244;607;10;30
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;179;1063;96;219;83;844
09171123;      Marktl, M;152;628;120;398;32;230
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;642;1243;635;1202;7;41
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);70516;272847;56374;242690;14142;30157
09172111;      Ainring;3028;7603;2419;6305;609;1298
09172112;      Anger;592;2433;526;2227;66;206
09172114;      Bad Reichenhall, GKSt;12479;58955;8825;49815;3654;9140
09172115;      Bayerisch Gmain;2715;19402;2556;19030;159;372
09172116;      Berchtesgaden, M;18237;55552;13853;46493;4384;9059
09172117;      Bischofswiesen;4236;18754;3989;18185;247;569
09172118;      Freilassing, St;1101;2399;795;1790;306;609
09172122;      Laufen, St;605;1115;571;1035;34;80
09172124;      Marktschellenberg, M;549;2784;517;2654;32;130
09172128;      Piding;1788;4905;1172;4062;616;843
09172129;      Ramsau b.Berchtesgaden;5015;21047;4357;19627;658;1420
09172130;      Saaldorf-Surheim;421;1078;376;993;45;85
09172131;      Schneizlreuth;845;2045;773;1895;72;150
09172132;      Schönau a.Königssee;17565;71447;14413;65413;3152;6034
09172134;      Teisendorf, M;1340;3328;1232;3166;108;162
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);35780;105711;33494;100000;2286;5711
09173111;      Bad Heilbrunn;871;1810;791;1573;80;237
09173112;      Bad Tölz, St;6073;28710;5583;27258;490;1452
09173113;      Benediktbeuern;5474;10710;5417;10615;57;95
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1875;3995;1795;3827;80;168
09173120;      Egling;1429;2996;1291;2776;138;220
09173123;      Eurasburg;268;633;249;583;19;50
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1289;4022;1222;3866;67;156
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;333;1224;314;1157;19;67
09173133;      Kochel a.See;4368;11830;3975;10884;393;946
09173134;      Königsdorf;2154;4174;2058;3997;96;177
09173135;      Lenggries;5370;15472;5119;14636;251;836
09173137;      Münsing;1999;5011;1863;4679;136;332
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;880;2540;829;2421;51;119
09173145;      Wackersberg;1057;2836;968;2667;89;169
09173147;      Wolfratshausen, St;1355;3180;1122;2670;233;510
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);15525;37323;12587;30550;2938;6773
09174111;      Altomünster, M;563;1544;506;1462;57;82
09174113;      Bergkirchen;2607;4885;2063;3790;544;1095
09174115;      Dachau, GKSt;6346;16190;4788;12406;1558;3784
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;386;1296;351;1203;35;93
09174126;      Karlsfeld;806;1620;620;1292;186;328
09174131;      Markt Indersdorf, M;679;3141;613;2779;66;362
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;520;1300;467;1137;53;163
09174143;      Schwabhausen;618;1357;542;1199;76;158
09174146;      Sulzemoos;611;1512;446;1164;165;348
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);21256;44815;16957;34570;4299;10245
09175111;      Anzing;369;1438;226;885;143;553
09175112;      Aßling;.;.;.;.;.;.
