GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2007;;;;;;;
Monate: September;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2740899;8070819;2114502;6755454;626397;1315365
091;  Oberbayern;1196556;3228969;823525;2408280;373031;820689
09161;    Ingolstadt (Krfr.St);21367;38360;15504;28543;5863;9817
09162;    München, Landeshauptstadt;457313;958374;232461;454658;224852;503716
09163;    Rosenheim (Krfr.St);10657;15612;6787;10003;3870;5609
09171;    Altötting (Lkr);12789;27371;10491;22640;2298;4731
09171111;      Altötting, St;6110;13516;4751;11311;1359;2205
09171112;      Burghausen, St;4773;9030;4026;7171;747;1859
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;332;820;286;695;46;125
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;302;735;284;717;18;18
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);60719;318782;52976;297680;7743;21102
09172111;      Ainring;2484;7842;1800;5612;684;2230
09172112;      Anger;369;2188;351;2126;18;62
09172114;      Bad Reichenhall, GKSt;11497;74153;10257;70510;1240;3643
09172115;      Bayerisch Gmain;2708;21349;2645;21197;63;152
09172116;      Berchtesgaden, M;11868;53539;9565;47877;2303;5662
09172117;      Bischofswiesen;4537;24880;4229;23728;308;1152
09172118;      Freilassing, St;1821;3900;1364;2694;457;1206
09172122;      Laufen, St;890;1567;802;1410;88;157
09172124;      Marktschellenberg, M;853;4119;712;3776;141;343
09172128;      Piding;2104;5727;1778;5125;326;602
09172129;      Ramsau b.Berchtesgaden;5430;30757;5206;29878;224;879
09172130;      Saaldorf-Surheim;425;984;395;906;30;78
09172131;      Schneizlreuth;795;1423;488;1116;307;307
09172132;      Schönau a.Königssee;13978;82474;12507;78044;1471;4430
09172134;      Teisendorf, M;960;3880;877;3681;83;199
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);35151;122959;30958;112582;4193;10377
09173111;      Bad Heilbrunn;541;1852;503;1696;38;156
09173112;      Bad Tölz, St;8721;41280;7095;36518;1626;4762
09173113;      Benediktbeuern;3173;10901;3105;10794;68;107
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;989;2573;943;2421;46;152
09173120;      Egling;997;2122;505;1153;492;969
09173123;      Eurasburg;221;413;208;381;13;32
09173124;      Gaißach;358;5220;358;5220;-;-
09173126;      Geretsried, St;1917;6120;1806;5835;111;285
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;429;1935;426;1921;3;14
09173133;      Kochel a.See;3941;15361;3523;14262;418;1099
09173134;      Königsdorf;2438;5468;2359;5276;79;192
09173135;      Lenggries;5091;13568;4570;12465;521;1103
09173137;      Münsing;3017;6707;2761;6179;256;528
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;673;1720;574;1566;99;154
09173145;      Wackersberg;970;3831;925;3675;45;156
09173147;      Wolfratshausen, St;1386;2737;1025;2115;361;622
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);12495;23734;9972;18706;2523;5028
09174111;      Altomünster, M;.;.;.;.;.;.
09174113;      Bergkirchen;1675;3707;1455;3268;220;439
09174115;      Dachau, GKSt;4663;7715;3591;5746;1072;1969
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;824;1544;732;1214;92;330
09174126;      Karlsfeld;1231;2371;730;1094;501;1277
09174131;      Markt Indersdorf, M;753;1401;657;1261;96;140
09174135;      Odelzhausen;793;1226;496;840;297;386
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;436;1146;394;1048;42;98
09174143;      Schwabhausen;308;809;275;738;33;71
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);17451;38350;13715;28598;3736;9752
09175111;      Anzing;668;2097;556;1633;112;464
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
