,STATIONS_ID,MESS_DATUM,QN_3,  FX,  FM,QN_4, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK,eor
11435,3379,19850921,10,6.0,1.3,10,0.0,0,6.7,0,3.0,14.6,957.4,19.6,66.0,25.7,15.0,13.3,eor
11436,3379,19850922,10,8.5,2.6,10,0.0,0,8.4,0,2.3,13.8,957.4,20.2,59.0,26.7,15.9,15.0,eor
11437,3379,19850923,10,5.8,1.0,10,0.0,0,8.9,0,2.3,15.0,957.2,20.8,63.0,25.6,15.2,13.3,eor
11438,3379,19850924,10,5.0,0.7,10,0.0,0,9.1,0,2.0,16.2,956.7,19.3,74.0,23.7,14.6,13.4,eor
11439,3379,19850925,10,7.0,0.7,10,0.0,0,5.8,0,1.0,15.1,958.9,18.4,72.0,22.8,14.7,13.7,eor
11440,3379,19850926,10,6.0,1.0,10,0.0,0,8.3,0,1.0,12.2,963.6,16.5,67.0,21.3,12.0,11.0,eor
11441,3379,19850927,10,5.5,0.8,10,0.0,0,9.9,0,1.7,12.8,963.7,16.4,71.0,21.0,10.3,9.0,eor
11442,3379,19850928,10,5.0,0.7,10,0.0,0,9.5,0,1.0,12.0,962.0,17.0,66.0,22.6,10.8,9.2,eor
11443,3379,19850929,10,5.2,0.5,10,0.0,0,9.8,0,0.0,11.8,963.2,15.7,68.0,20.8,10.3,9.0,eor
11444,3379,19850930,10,0.9,0.3,10,0.0,0,9.6,0,1.0,10.9,963.8,14.9,68.0,21.5,8.7,7.6,eor
11445,3379,19851001,10,2.7,0.2,10,0.0,0,8.5,0,4.7,13.5,961.6,17.4,71.0,24.3,9.2,7.9,eor
11446,3379,19851002,10,8.0,1.1,10,0.0,0,6.3,0,4.7,14.8,961.1,18.6,68.0,23.6,14.0,11.7,eor
11447,3379,19851003,10,5.1,1.2,10,0.0,0,9.7,0,0.0,14.0,958.0,19.0,67.0,26.2,12.7,11.2,eor
11448,3379,19851004,10,6.6,0.8,10,0.0,0,9.8,0,1.3,13.4,955.6,19.0,63.0,25.6,12.7,10.7,eor
11449,3379,19851005,10,9.2,1.1,10,0.3,6,8.4,0,2.3,14.7,954.7,17.9,72.0,24.0,13.0,10.9,eor
11450,3379,19851006,10,4.0,0.7,10,0.0,0,0.0,0,7.3,15.2,957.7,15.6,87.0,17.3,12.6,12.4,eor
11799,3379,19860920,10,3.5,0.7,10,0.0,0,5.4,0,2.0,9.7,966.5,10.8,75.0,15.4,5.5,5.0,eor
11800,3379,19860921,10,4.0,0.5,10,0.0,0,9.9,0,2.3,9.6,963.7,12.9,68.0,19.2,5.9,5.0,eor
11801,3379,19860922,10,4.9,0.7,10,0.0,0,8.8,0,2.7,11.0,960.8,14.8,68.0,20.6,8.7,7.5,eor
11802,3379,19860923,10,3.8,0.5,10,0.0,0,10.3,0,1.0,10.3,959.4,15.8,61.0,21.3,9.4,8.4,eor
11803,3379,19860924,10,7.5,1.2,10,0.0,0,2.5,0,7.3,11.7,955.4,15.2,70.0,19.5,9.2,7.6,eor
11804,3379,19860925,10,10.1,2.5,10,0.0,0,0.5,0,7.3,10.1,953.9,13.0,68.0,16.0,10.5,10.5,eor
11805,3379,19860926,10,9.0,1.2,10,0.0,0,10.1,0,1.3,7.0,955.0,11.2,54.0,15.5,6.8,6.0,eor
11806,3379,19860927,10,6.0,0.7,10,0.0,0,9.4,0,3.3,8.4,959.9,11.8,64.0,16.4,5.0,4.0,eor
11807,3379,19860928,10,7.7,1.2,10,0.0,0,9.3,0,1.0,8.7,966.8,12.5,62.0,17.2,8.4,7.2,eor
11808,3379,19860929,10,5.1,0.6,10,0.0,0,10.0,0,1.7,9.1,968.4,12.4,67.0,18.0,5.7,5.0,eor
11809,3379,19860930,10,8.2,1.4,10,0.0,0,9.2,0,3.0,11.1,966.7,13.6,72.0,19.2,6.8,5.8,eor
